,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
78,Marsaxlokk,75,MT,1570602634,93,35.84,14.54,64.74,8.05
79,Oussouye,40,SN,1570602634,100,12.49,-16.54,77.0,2.24
80,Atuona,6,PF,1570602036,73,-9.8,-139.03,79.21,10.91
81,Puerto,20,AR,1570602104,78,-51.62,-69.23,41.0,28.86
82,Ahuimanu,20,US,1570602634,69,21.44,-157.84,78.98,6.93
83,Boden,20,SE,1570602635,87,65.83,21.69,32.0,10.29
84,Hermanus,98,ZA,1570602635,83,-34.42,19.24,54.88,4.0
85,Marrakesh,0,MA,1570602635,68,31.63,-7.99,64.4,3.36
86,Havoysund,75,NO,1570602636,86,71.0,24.66,37.4,18.34
87,Vao,100,EE,1570602146,94,59.1,26.19,39.53,4.85
88,Gizo,20,IL,1570602636,69,31.8,34.94,76.8,2.24
89,Cidreira,0,BR,1570602055,92,-30.17,-50.22,61.11,3.58
90,Acapulco,90,MX,1570602115,94,16.86,-99.88,78.8,0.47
91,Gwadar,0,PK,1570602637,77,25.12,62.33,83.23,13.85
92,Husavik,100,CA,1570602637,90,50.56,-96.99,47.44,5.01
93,Synya,48,RU,1570602638,70,65.37,58.04,36.45,11.16
94,New,75,LR,1570602638,94,6.65,-10.59,75.2,1.19
95,Abha,0,SA,1570602128,37,18.22,42.5,70.79,17.22
96,Namibe,90,AO,1570602638,87,-15.19,12.15,66.16,5.53
97,Port,82,CD,1570602639,57,-7.04,29.76,78.15,10.14
98,Khatanga,85,RU,1570602079,85,71.98,102.47,20.3,5.28
99,Ushuaia,40,AR,1570602639,80,-54.81,-68.31,35.6,25.28
100,Kjopsvik,2,NO,1570602640,64,68.1,16.37,35.85,18.34
101,Scarborough,100,GB,1570602640,93,54.28,-0.41,49.15,10.29
102,Ponta,28,BR,1570602056,94,-0.53,-65.05,73.26,0.63
103,Coahuayana,99,MX,1570602640,94,18.62,-100.35,70.0,3.13
104,Souillac,44,FR,1570602641,93,45.6,-0.6,54.73,10.29
105,Port,82,CD,1570602641,57,-7.04,29.76,78.15,10.14
106,Ketchikan,75,US,1570602641,80,55.34,-131.65,39.38,10.78
107,Sabha,48,LY,1570602642,50,27.03,14.43,66.33,8.41
108,Fortuna,20,US,1570602133,81,40.6,-124.16,50.79,11.41
109,Puerto,20,AR,1570602642,78,-51.62,-69.23,41.0,28.86
110,Farah,0,AF,1570602642,12,32.37,62.11,83.23,4.61
111,Jiazi,40,CN,1570602643,66,19.61,110.49,87.8,13.42
112,Dhidhdhoo,100,MV,1570602643,69,6.88,73.1,83.47,5.57
113,Carnarvon,0,ZA,1570602644,34,-30.97,22.13,59.45,10.18
114,Dublin,75,IE,1570602644,87,53.35,-6.26,46.45,11.41
115,Preobrazheniye,0,RU,1570602644,44,42.9,133.91,56.93,9.6
116,Esperance,100,AU,1570602645,22,-33.86,121.89,86.0,17.22
117,Sibolga,79,ID,1570602645,85,1.74,98.78,81.39,3.38
118,Bethel,1,US,1570602094,93,60.79,-161.76,41.65,10.29
119,Sokoni,37,CD,1570602646,40,-12.89,28.78,76.39,8.58
120,Nouadhibou,0,MR,1570602174,64,20.93,-17.03,75.2,2.24
121,Santa,0,PH,1570602646,67,17.49,120.43,83.88,4.88
122,Bilibino,60,RU,1570602647,99,68.06,166.44,3.74,2.46
123,Usak,0,TR,1570602647,93,38.67,29.41,58.69,2.24
124,Mabaruma,87,GY,1570602647,98,8.2,-59.78,73.11,0.59
125,Provideniya,90,RU,1570602648,80,64.42,-173.23,39.2,8.95
126,Torbay,40,CA,1570602648,100,47.66,-52.73,47.21,18.34
127,Codrington,90,AU,1570602077,55,-28.95,153.24,65.62,14.99
128,Ilhabela,100,BR,1570602648,90,-23.78,-45.36,68.44,7.92
129,Ancud,90,CL,1570602082,100,-41.87,-73.83,46.4,6.93
130,Goba,7,ET,1570602649,81,7.01,39.97,53.12,3.74
131,Itaituba,100,BR,1570602649,98,-4.26,-55.99,72.23,2.89
132,Churachandpur,40,IN,1570602650,69,24.33,93.67,80.6,4.7
133,Manta,1,RO,1570602650,64,45.1,24.1,45.18,1.68
134,Hovd,40,NO,1570602650,83,63.83,10.7,43.16,14.99
135,Limbang,75,BN,1570602651,62,4.75,115.01,88.29,10.29
136,Mandera,42,ET,1570602651,59,3.94,41.86,83.21,8.63
137,Chapais,1,CA,1570602651,90,49.78,-74.86,33.8,4.7
138,Menongue,100,AO,1570602651,60,-14.66,17.68,68.9,5.8
139,Port,98,CD,1570602652,44,-7.04,29.76,74.29,11.7
140,Jamestown,35,AU,1570602652,23,-33.21,138.6,69.39,5.14
141,Bathsheba,40,BB,1570602652,69,13.22,-59.52,82.4,16.11
142,Majene,15,ID,1570602653,68,-3.54,118.97,84.24,13.24
143,Sistranda,20,NO,1570602653,75,63.73,8.83,43.48,14.99
144,Yellowknife,40,CA,1570602057,86,62.45,-114.38,29.12,9.17
145,Forestville,5,CA,1570602654,86,48.74,-69.09,41.0,3.36
146,Lakatoro,64,VU,1570602654,100,-16.11,167.42,78.8,11.41
147,Bereda,20,ES,1570602654,100,43.27,-7.54,47.39,4.7
148,North,37,NG,1570602654,93,4.97,7.66,72.79,2.13
149,Sabang,84,PH,1570602097,80,13.8,121.11,82.99,7.0
150,Mahebourg,75,MU,1570602061,47,-20.41,57.7,77.7,18.34
151,Escarcega,100,MX,1570602655,94,18.61,-90.75,73.96,2.57
152,Ribeira,17,PT,1570602655,87,41.76,-8.56,53.85,3.36
153,West,1,US,1570602656,72,31.8,-97.09,63.18,6.93
154,Sambava,64,MG,1570602656,81,-14.27,50.17,74.89,3.57
155,Naze,75,NG,1570602656,94,5.43,7.07,73.4,2.2
156,East,99,UG,1570602657,85,3.43,31.7,73.58,0.67
157,Jega,41,NG,1570602657,81,12.22,4.38,76.25,6.91
158,Coquimbo,90,CL,1570602095,100,-29.95,-71.34,55.04,3.36
159,Namatanai,22,PG,1570602657,77,-3.66,152.44,82.24,9.4
160,Maragogi,10,BR,1570602182,94,-9.01,-35.22,68.72,3.74
161,Abalak,76,NE,1570602658,62,15.46,6.28,79.97,9.24
162,Bangor,99,GB,1570602622,71,53.23,-4.13,51.13,20.8
163,Lazarev,100,RU,1570602659,83,52.23,141.51,47.27,35.66
164,Bonfim,80,BR,1570602659,64,-20.33,-44.24,71.6,4.7
165,Bara,76,NG,1570602659,94,10.41,10.6,71.53,2.94
166,Laranjeiras,40,BR,1570602660,73,-10.8,-37.17,77.0,6.93
167,Mount,40,GB,1570602660,87,53.66,-1.85,48.11,9.17
168,Xiaoshi,5,CN,1570602661,41,30.59,116.63,80.83,2.64
169,Salalah,20,OM,1570602064,66,17.01,54.1,86.0,4.7
170,Tiksi,100,RU,1570602457,96,71.64,128.87,25.22,7.54
171,Bilma,37,NE,1570602121,43,18.69,12.92,83.91,6.9
172,Longyearbyen,75,NO,1570602662,83,78.22,15.63,33.8,3.36
173,Sorland,20,NO,1570602662,60,67.67,12.69,42.8,21.92
174,Hamilton,5,CA,1570602551,87,43.26,-79.87,45.37,8.05
175,Sept-Iles,5,CA,1570602663,74,50.2,-66.38,36.63,6.93
176,Tlapehuala,100,MX,1570602663,91,18.24,-100.54,68.22,3.8
177,Batagay-Alyta,35,RU,1570602179,71,67.8,130.41,14.81,7.48
178,Kongolo,100,CD,1570602664,87,-5.39,27.0,73.46,4.72
179,Victoria,75,BN,1570602147,70,5.28,115.24,88.02,4.7
180,Tres,90,IT,1570602664,100,46.32,11.1,43.88,8.05
181,Nishihara,20,JP,1570602081,27,35.74,139.53,77.54,9.17
182,Nurota,0,UZ,1570602665,23,40.56,65.69,75.2,16.11
183,Gat,20,SN,1570602665,88,14.69,-16.54,78.8,4.7
184,Mbekenyera,83,TZ,1570602665,63,-10.0,38.98,78.44,4.56
185,Khandbari,11,NP,1570602666,74,27.38,87.21,60.44,5.32
186,Gorontalo,46,ID,1570602666,50,0.54,123.06,86.15,6.55
187,Tuy,75,PH,1570602667,59,14.02,120.73,89.26,8.05
188,Bakchar,68,RU,1570602667,58,57.02,82.07,47.16,5.57
189,Muros,40,ES,1570602154,100,42.77,-9.06,50.52,3.36
190,Mareeba,54,AU,1570602668,69,-16.99,145.42,85.35,6.93
191,Tasiilaq,100,GL,1570602084,75,65.61,-37.64,41.0,13.87
192,Luderitz,0,NA,1570601968,62,-26.65,15.16,59.0,17.22
193,Aranos,0,NA,1570602668,12,-24.14,19.11,69.07,3.44
194,Severo-Kurilsk,100,RU,1570602669,93,50.68,156.12,46.76,44.72
195,Albany,20,US,1570602669,87,42.65,-73.75,43.38,3.36
196,Qaanaaq,76,GL,1570602669,63,77.48,-69.36,18.54,10.2
197,Campos,33,PT,1570602670,87,41.97,-8.7,54.59,3.36
198,Kaeo,95,NZ,1570602141,93,-35.1,173.78,63.93,6.64
199,Bodden,75,GB,1570602670,87,51.2,-2.52,49.39,6.93
200,Rio,1,US,1570602671,71,41.11,-90.4,50.94,7.45
201,Sioux,1,US,1570602150,58,46.74,-90.88,54.7,6.93
202,Karratha,2,AU,1570602671,7,-20.74,116.85,107.08,17.47
203,Mackay,90,CA,1570602099,73,53.65,-115.58,23.0,9.17
204,Viedma,100,AR,1570602672,48,-40.81,-62.99,50.62,8.9
205,Lompoc,90,US,1570601807,87,34.64,-120.46,54.82,3.36
206,Bahar,0,IR,1570602672,28,34.91,48.44,71.6,1.68
207,Homer,90,US,1570602079,70,59.64,-151.54,43.88,13.32
208,Constitucion,41,MX,1570602073,52,23.99,-104.67,61.09,2.0
209,Yerbogachen,100,RU,1570602673,78,61.28,108.01,22.55,7.99
210,Santiago,95,PH,1570602674,79,16.69,121.54,81.92,3.2
211,Clarksburg,90,US,1570602650,93,39.24,-77.28,56.7,9.17
212,Ust-Tsilma,89,RU,1570602675,80,65.44,52.15,34.25,12.18
213,Sao,0,IN,1570602675,55,20.51,76.21,82.37,6.82
214,Nikolskoye,90,RU,1570602675,86,59.7,30.79,41.04,8.95
215,Akureyri,90,IS,1570602676,70,65.68,-18.09,46.4,12.75
216,Ulladulla,0,AU,1570602676,51,-35.36,150.48,58.53,17.22
217,Foumban,100,CM,1570602676,92,5.73,10.9,62.6,3.29
218,Bangkalan,1,ID,1570602677,40,-7.05,112.74,94.57,9.6
219,Barrow,61,AR,1570602677,61,-38.31,-60.23,46.35,10.11
220,Mar,43,CN,1570602678,34,29.86,90.73,45.7,12.6
221,Madingou,86,CG,1570602678,88,-4.17,13.56,74.65,4.85
222,Tigil,49,RU,1570602110,85,57.8,158.67,44.1,12.68
223,Lindsay,1,CA,1570602679,100,44.36,-78.74,42.17,4.7
224,Gold,90,US,1570602679,100,35.79,-81.76,56.44,2.77
225,Banjar,50,ID,1570602679,49,-7.37,108.54,88.16,9.93
226,Khor,0,RU,1570602679,55,47.88,134.96,53.51,12.61
227,Corrente,12,BR,1570602680,64,-17.45,-44.68,71.93,3.98
228,Lidkoping,75,SE,1570602680,100,58.51,13.16,40.86,1.12
229,Mahon,75,IE,1570602680,87,51.89,-8.4,47.44,6.93
230,Zhigansk,41,RU,1570602681,85,66.77,123.37,21.31,14.79
231,Mnogovershinnyy,65,RU,1570602681,64,53.94,139.92,42.93,10.13
232,Miraflores,0,PE,1570602681,17,-16.39,-71.52,51.8,2.09
233,Samana,56,EC,1570602178,99,0.12,-76.97,68.31,1.25
234,Lengshuijiang,48,CN,1570602683,43,27.66,111.45,82.69,5.19
235,Buala,26,SB,1570602683,68,-8.15,159.59,83.77,2.19
236,Brooks,100,CA,1570602605,80,50.57,-111.89,25.0,1.01
237,San,28,ML,1570602171,70,13.3,-4.9,77.49,10.12
238,Wlodawa,90,PL,1570602541,93,51.55,23.55,47.3,8.95
239,Axim,98,GH,1570602684,95,4.87,-2.24,73.38,5.52
240,Kaduy,90,RU,1570602684,93,59.2,37.15,35.6,4.47
241,Kolokani,0,ML,1570602685,81,13.58,-8.03,74.48,7.9
242,Dolores,27,UY,1570602685,86,-33.53,-58.22,57.99,1.99
243,Berlevag,75,NO,1570602127,80,70.86,29.09,39.15,20.8
244,Guerrero,0,AR,1570602686,55,-24.19,-65.45,64.4,4.7
245,Urdoma,100,RU,1570602686,80,61.74,48.55,34.47,11.68
246,Liverpool,0,GB,1570602686,87,53.41,-2.98,49.03,6.93
247,Anuradhapura,32,LK,1570602687,54,8.34,80.41,89.51,4.34
248,Norman,90,US,1570602687,59,35.22,-97.44,61.7,16.11
249,Taltal,31,CL,1570602098,83,-25.41,-70.49,51.96,1.06
250,Heinola,40,FI,1570602687,100,61.2,26.03,27.3,1.12
251,Balao,90,EC,1570602688,87,-2.91,-79.82,70.72,9.62
252,Quibor,96,VE,1570602688,87,9.93,-69.62,69.77,1.88
253,Songea,58,TZ,1570602688,61,-10.68,35.65,73.62,8.84
254,Atuntaqui,75,EC,1570602689,87,0.33,-78.22,55.4,2.24
255,Ewa,99,CM,1570602689,95,5.76,9.91,70.9,0.43
256,Mayo,90,CA,1570602689,85,63.59,-135.9,21.2,2.46
257,Dharchula,0,IN,1570602690,61,29.85,80.53,56.54,7.96
258,Goderich,0,CA,1570602137,88,43.74,-81.71,44.28,8.01
259,Portland,1,US,1570602624,76,43.66,-70.25,46.6,8.05
260,Tashtagol,0,RU,1570602690,58,52.76,87.85,56.86,3.96
261,Koster,0,ZA,1570602691,18,-25.86,26.9,74.03,8.97
262,Komsomolskiy,100,RU,1570602127,87,67.55,63.78,37.02,2.94
263,Solnechnyy,3,RU,1570602691,42,50.72,136.64,53.82,2.55
264,Shaoyang,40,CN,1570602692,48,27.23,111.45,79.65,5.61
265,Grand,90,FR,1570602692,93,48.39,5.49,52.03,12.75
266,Tilichiki,4,RU,1570602693,83,60.47,166.1,29.39,2.93
267,Marsh,40,GB,1570602693,87,53.65,-1.81,48.4,9.17
268,Hazorasp,0,UZ,1570602693,27,41.32,61.08,75.2,9.17
269,Kodiak,1,US,1570602693,76,39.95,-94.76,53.64,6.93
270,Winnemucca,1,US,1570602694,34,40.97,-117.74,52.59,10.29
271,Amboasary,20,MG,1570602694,65,-25.04,46.38,80.6,21.92
272,Rio,1,US,1570602694,71,41.11,-90.4,50.86,7.45
273,Aklavik,75,CA,1570602695,69,68.22,-135.01,33.8,5.82
274,Kondinskoye,76,RU,1570602695,80,59.65,67.41,52.78,4.32
275,Kaa-Khem,67,RU,1570602695,42,51.7,94.56,55.54,16.04
276,Rawson,83,AR,1570602696,43,-43.3,-65.11,48.78,12.73
277,Uusikaupunki,0,FI,1570602696,80,60.8,21.41,34.41,3.36
278,Pekin,1,US,1570602697,58,40.57,-89.64,51.73,3.36
279,Alice,83,ZA,1570602697,68,-32.79,26.83,62.46,7.25
280,Sidney,90,US,1570601969,74,47.72,-104.16,38.82,20.8
281,Mount,40,GB,1570602660,87,53.66,-1.85,48.11,9.17
282,Saint-Joseph,90,FR,1570602698,82,43.56,6.97,55.47,4.7
283,Dicabisagan,86,PH,1570602698,75,17.08,122.42,83.75,3.29
284,Livingstonia,79,MW,1570602698,69,-10.61,34.11,65.12,8.69
285,Miranda,17,BR,1570602699,68,-20.24,-56.38,71.42,4.35
286,Pinar,0,AL,1570602152,82,41.41,19.83,59.0,1.12
287,Asosa,29,ET,1570602699,78,10.07,34.53,73.73,2.98
288,Pervomayskiy,62,RU,1570602700,79,53.24,40.29,38.8,9.65
289,Makakilo,1,US,1570602700,69,21.35,-158.09,78.98,3.45
290,Paralia,75,GR,1570602701,77,40.27,22.6,62.47,4.7
291,Kankaanpaa,99,FI,1570602702,92,61.8,22.42,32.49,3.36
292,Amantea,40,IT,1570602702,77,39.13,16.07,61.75,10.29
293,Obo,100,CF,1570602703,97,5.39,26.49,69.48,5.66
294,Fushe-Arrez,0,AL,1570602703,73,42.06,20.02,54.49,3.4
295,Vila,90,IT,1570602704,87,45.18,8.4,56.7,4.7
296,Bambanglipuro,52,ID,1570602125,82,-7.95,110.28,77.4,14.74
297,Inhambane,75,MZ,1570602704,78,-23.87,35.38,78.8,4.7
298,San,28,ML,1570602705,70,13.3,-4.9,77.49,10.11
299,Fillan,20,NO,1570602705,75,63.6,8.98,43.5,14.99
300,Katsuura,0,JP,1570602165,33,33.93,134.5,72.43,10.29
301,Roald,40,NO,1570602705,66,62.58,6.12,39.16,12.75
302,Grindavik,0,IS,1570602706,87,63.84,-22.43,44.51,11.41
303,Launceston,90,AU,1570602706,50,-41.43,147.14,58.41,8.05
304,Roswell,1,US,1570602707,82,33.39,-104.52,64.54,10.29
305,Nakatunguru,75,TZ,1570602707,82,-2.12,33.07,68.0,13.29
306,Chaoyang,67,CN,1570602707,18,41.58,120.44,74.84,17.84
307,Ginir,62,ET,1570602708,75,7.14,40.71,66.51,2.28
308,Avera,90,US,1570602708,82,33.19,-82.53,66.99,5.82
309,Talara,79,PE,1570602709,89,-4.58,-81.27,63.09,17.29
310,Siocon,99,PH,1570602709,68,11.03,124.04,86.24,7.36
311,Nantucket,90,US,1570602603,87,41.28,-70.1,58.01,16.11
312,Tabou,100,CI,1570602709,95,4.42,-7.36,73.2,3.67
313,Nicholasville,1,US,1570602710,100,37.88,-84.57,54.7,3.36
314,Grand,90,FR,1570602710,93,48.39,5.49,52.03,12.75
315,Iskateley,65,RU,1570602710,78,67.68,53.15,33.66,19.62
316,Port-Gentil,75,GA,1570602142,94,-0.72,8.78,77.0,8.05
317,Zhezkazgan,3,KZ,1570602711,13,47.8,67.71,71.6,2.24
318,Timbuktu,87,ML,1570602711,11,16.77,-3.01,88.52,6.82
319,Umarkot,0,PK,1570602712,25,25.37,69.74,94.06,3.92
320,Tamarindo,83,CU,1570602712,93,22.12,-78.91,74.38,3.56
321,Ostrovnoy,82,RU,1570602712,95,68.05,39.51,33.73,12.84
322,Noumea,90,NC,1570602712,78,-22.28,166.46,77.09,3.36
323,Pontianak,75,ID,1570602713,59,-0.02,109.34,89.6,12.71
324,Aksu,0,KZ,1570602714,30,52.04,76.93,68.0,6.71
325,Byron,75,US,1570602540,83,32.65,-83.76,70.57,5.82
326,Keti,98,AM,1570602714,41,40.87,43.84,60.8,2.24
327,Tuatapere,100,NZ,1570602714,98,-46.13,167.69,51.01,1.01
328,Shima,20,JP,1570602715,33,34.34,136.82,75.2,9.17
329,Saldanha,17,PT,1570602715,95,41.42,-6.55,52.07,2.83
330,Piranshahr,22,IR,1570602715,27,36.7,45.14,65.45,11.54
331,Marystown,84,CA,1570602716,84,47.17,-55.16,48.58,16.06
332,Ayan,62,IR,1570602716,28,38.23,44.7,56.56,9.1
333,Maldonado,0,UY,1570602716,74,-34.91,-54.96,58.59,5.06
334,Pisco,90,PE,1570602163,87,-13.71,-76.2,59.76,4.7
335,Jalu,71,LY,1570602717,22,29.03,21.55,83.61,17.64
336,Vaitape,90,PF,1570602177,85,-16.52,-151.75,76.01,24.63
337,Deer,1,US,1570602718,81,38.62,-91.8,51.96,5.82
338,Naryshkino,91,RU,1570602719,66,52.97,35.72,40.06,16.65
339,Dhanera,0,IN,1570602719,29,24.51,72.02,91.26,4.54
340,Meulaboh,91,ID,1570602719,80,4.14,96.13,80.08,10.27
341,Altay,0,CN,1570602720,21,47.83,88.13,56.0,5.32
342,Talwara,0,IN,1570602720,47,31.94,75.88,79.77,0.93
343,Kalabo,66,ZM,1570602720,53,-15.0,22.67,75.33,6.93
344,Qui,40,BR,1570602721,73,-10.97,-37.6,77.0,6.93
345,Nabire,98,ID,1570602721,90,-3.36,135.5,78.39,1.23
346,Alofi,85,NU,1570602722,73,-19.06,-169.92,73.4,5.82
347,Necochea,71,AR,1570602722,87,-38.55,-58.74,43.0,3.0
348,Dalbandin,0,PK,1570602722,11,28.9,64.41,87.95,3.29
349,Boende,98,CD,1570602723,84,-0.28,20.88,74.92,3.09
350,Kavieng,14,PG,1570602723,68,-2.57,150.8,85.28,7.52
351,Stokmarknes,8,NO,1570602724,64,68.56,14.91,35.29,11.41
352,Shiyan,98,CN,1570602724,81,32.65,110.78,57.8,4.16
353,Blagoyevo,100,RU,1570602724,90,63.37,47.92,33.68,13.8
354,Sitionuevo,40,CO,1570602725,94,10.78,-74.72,78.8,3.36
355,Itarema,32,BR,1570602725,76,-2.92,-39.92,76.08,8.8
356,Wamba,100,CD,1570602725,99,2.14,27.99,66.78,2.48
357,Sibu,75,MY,1570602726,83,2.29,111.83,80.26,6.93
358,Narsaq,75,GL,1570602151,91,60.91,-46.05,37.4,4.43
359,Bogorodskoye,97,RU,1570602726,72,52.37,140.44,42.95,10.54
360,Muromtsevo,82,RU,1570602726,61,56.37,75.24,56.46,5.99
361,Lata,15,IN,1570602727,78,30.78,78.62,38.74,8.14
362,Peace,85,UA,1570602727,48,48.31,38.07,43.25,8.46
363,Sete,7,NP,1570602727,80,27.58,86.44,58.23,5.96
364,Lanzhou,40,CN,1570602728,81,36.06,103.82,51.8,2.24
365,Geraldton,20,CA,1570602728,76,49.72,-86.95,51.8,9.17
366,Sao,0,IN,1570602728,55,20.51,76.21,82.37,6.82
367,Vestmannaeyjar,95,IS,1570602729,79,63.44,-20.27,47.9,11.56
368,Kutum,84,SD,1570602729,48,14.2,24.66,77.22,0.92
369,Yinchuan,100,CN,1570602730,46,38.48,106.21,61.0,5.01
370,Airai,15,TL,1570602730,39,-8.93,125.41,82.96,9.43
371,Chuy,0,UY,1570602730,71,-33.69,-53.46,53.5,7.0
372,Tautira,90,PF,1570602147,65,-17.73,-149.15,78.33,4.7
373,Syamzha,99,RU,1570602731,96,60.02,41.06,32.95,9.15
374,Kingaroy,0,AU,1570602731,8,-26.54,151.84,80.74,12.75
375,Cabo,40,ES,1570602731,82,43.18,-5.8,51.53,11.41
376,Safford,1,US,1570602732,24,32.83,-109.71,62.13,9.17
377,Songjianghe,0,CN,1570602732,33,42.18,127.48,62.55,11.07
378,Fort,65,IN,1570602732,72,17.96,79.61,83.34,6.53
379,Kalmunai,64,LK,1570602733,52,7.42,81.82,90.97,3.89
380,Krasnyy,75,RU,1570602733,81,53.81,40.7,36.0,4.0
381,Dunmore,1,US,1570602733,87,41.42,-75.63,46.06,3.36
